episode,t,obs,act,rew
7,62,"(35, 3)",1,-0.17
7,63,"(36, 3)",1,-0.17
7,64,"(37, 3)",1,-0.17
7,65,"(38, 3)",0,-0.17
7,66,"(38, 2)",0,-0.17
7,67,"(38, 1)",0,-0.17
7,68,"(38, 0)",1,16.67
8,0,"(0, 19)",0,-0.17
8,1,"(0, 18)",0,-0.17
8,2,"(0, 17)",0,-0.17
8,3,"(0, 16)",1,-0.17
8,4,"(1, 16)",0,-0.17
8,5,"(1, 15)",0,-0.17
8,6,"(1, 14)",0,-0.17
8,7,"(1, 13)",0,-16.67
8,8,"(1, 13)",1,-0.17
8,9,"(2, 13)",0,-0.17
8,10,"(2, 12)",1,-0.17
8,11,"(3, 12)",1,-0.17
8,12,"(4, 12)",1,-0.17
8,13,"(5, 12)",1,-0.17
8,14,"(6, 12)",0,-0.17
8,15,"(6, 11)",1,-0.17
8,16,"(7, 11)",0,-0.17
8,17,"(7, 10)",1,-0.17
8,18,"(8, 10)",1,-0.17
8,19,"(9, 10)",0,-0.17
8,20,"(9, 9)",0,-0.17
8,21,"(9, 8)",0,-0.17
8,22,"(9, 7)",0,-0.17
8,23,"(9, 6)",1,-16.67
8,24,"(9, 6)",0,-0.17
8,25,"(9, 5)",1,-0.17
8,26,"(10, 5)",1,-0.17
8,27,"(11, 5)",1,-0.17
8,28,"(12, 5)",1,-0.17
8,29,"(13, 5)",1,-0.17
8,30,"(14, 5)",1,-0.17
8,31,"(15, 5)",1,-0.17
8,32,"(16, 5)",1,-0.17
8,33,"(17, 5)",1,-0.17
8,34,"(18, 5)",1,-0.17
8,35,"(19, 5)",1,-0.17
8,36,"(20, 5)",1,-0.17
8,37,"(21, 5)",0,-0.17
8,38,"(21, 4)",1,-0.17
8,39,"(22, 4)",1,-0.17
8,40,"(23, 4)",1,-0.17
8,41,"(24, 4)",0,-0.17
8,42,"(24, 3)",1,-0.17
8,43,"(25, 3)",1,-0.17
8,44,"(26, 3)",1,-0.17
8,45,"(27, 3)",1,-0.17
8,46,"(28, 3)",1,-0.17
8,47,"(29, 3)",1,-0.17
8,48,"(30, 3)",1,-0.17
8,49,"(31, 3)",1,-0.17
8,50,"(32, 3)",1,-0.17
8,51,"(33, 3)",0,-0.17
8,52,"(33, 2)",1,-0.17
8,53,"(34, 2)",1,-0.17
8,54,"(35, 2)",2,-0.17
8,55,"(35, 3)",1,-0.17
8,56,"(36, 3)",1,-0.17
8,57,"(37, 3)",1,-0.17
8,58,"(38, 3)",1,-0.17
8,59,"(39, 3)",0,-0.17
8,60,"(39, 2)",0,-0.17
8,61,"(39, 1)",0,16.67
9,0,"(0, 19)",0,-0.17
9,1,"(0, 18)",0,-0.17
9,2,"(0, 17)",0,-0.17
9,3,"(0, 16)",1,-0.17
9,4,"(1, 16)",0,-0.17
9,5,"(1, 15)",1,-0.17
9,6,"(2, 15)",1,-0.17
9,7,"(3, 15)",0,-16.67
9,8,"(3, 15)",1,-16.67
9,9,"(3, 15)",2,-0.17
9,10,"(3, 16)",1,-0.17
9,11,"(4, 16)",1,-0.17
9,12,"(5, 16)",0,-0.17
9,13,"(5, 15)",0,-0.17
9,14,"(5, 14)",1,-0.17
9,15,"(6, 14)",0,-0.17
9,16,"(6, 13)",0,-0.17
9,17,"(6, 12)",0,-0.17
9,18,"(6, 11)",1,-0.17
9,19,"(7, 11)",0,-0.17
9,20,"(7, 10)",1,-0.17
9,21,"(8, 10)",1,-0.17
9,22,"(9, 10)",1,-0.17
9,23,"(10, 10)",0,-0.17
9,24,"(10, 9)",1,-0.17
9,25,"(11, 9)",1,-0.17
9,26,"(12, 9)",1,-0.17
9,27,"(13, 9)",0,-0.17
9,28,"(13, 8)",1,-0.17
9,29,"(14, 8)",1,-0.17
9,30,"(15, 8)",0,-0.17
9,31,"(15, 7)",1,-0.17
9,32,"(16, 7)",1,-0.17
9,33,"(17, 7)",0,-0.17
9,34,"(17, 6)",0,-0.17
9,35,"(17, 5)",0,-0.17
9,36,"(17, 4)",0,-0.17
9,37,"(17, 3)",1,-0.17
9,38,"(18, 3)",1,-0.17
9,39,"(19, 3)",1,-0.17
9,40,"(20, 3)",1,-0.17
9,41,"(21, 3)",1,-16.67
9,42,"(21, 3)",2,-0.17
9,43,"(21, 4)",1,-0.17
9,44,"(22, 4)",1,-0.17
9,45,"(23, 4)",1,-0.17
9,46,"(24, 4)",1,-0.17
9,47,"(25, 4)",1,-0.17
9,48,"(26, 4)",0,-0.17
9,49,"(26, 3)",1,-0.17
9,50,"(27, 3)",1,-0.17
9,51,"(28, 3)",1,-0.17
9,52,"(29, 3)",1,-0.17
9,53,"(30, 3)",1,-0.17
